audio_path,transcript
/toeic-learning-tool/E200/001_025/s200_001_en-US-Journey-D.mp3,"1. Would you mind if I opened the window?"
/toeic-learning-tool/E200/001_025/s200_002_en-US-Journey-D.mp3,"2. Have you taken a look at the spreadsheet?"
/toeic-learning-tool/E200/001_025/s200_003_en-US-Journey-D.mp3,"3. The marketing team needs more time for planning."
/toeic-learning-tool/E200/001_025/s200_004_en-US-Journey-D.mp3,"4. Could you send me last month's sales report?"
/toeic-learning-tool/E200/001_025/s200_005_en-US-Journey-D.mp3,"5. I'll get back to you next Wednesday."
/toeic-learning-tool/E200/001_025/s200_006_en-US-Journey-D.mp3,"6. When does the annual budget meeting usually start?"
/toeic-learning-tool/E200/001_025/s200_007_en-US-Journey-D.mp3,"7. The computer system will be upgraded next month."
/toeic-learning-tool/E200/001_025/s200_008_en-US-Journey-D.mp3,"8. Did you receive an email from the client?"
/toeic-learning-tool/E200/001_025/s200_009_en-US-Journey-D.mp3,"9. We should check availability at the conference room."
/toeic-learning-tool/E200/001_025/s200_010_en-US-Journey-D.mp3,"10. The executive board has postponed their final decision."
/toeic-learning-tool/E200/001_025/s200_011_en-US-Journey-D.mp3,"11. Would you like some coffee from the lounge?"
/toeic-learning-tool/E200/001_025/s200_012_en-US-Journey-D.mp3,"12. The printer needs maintenance from technical support staff."
/toeic-learning-tool/E200/001_025/s200_013_en-US-Journey-D.mp3,"13. Have you finished reviewing the expense reports yet?"
/toeic-learning-tool/E200/001_025/s200_014_en-US-Journey-D.mp3,"14. Our department must improve customer satisfaction levels."
/toeic-learning-tool/E200/001_025/s200_015_en-US-Journey-D.mp3,"15. Could you assist me with these documents now?"
/toeic-learning-tool/E200/001_025/s200_016_en-US-Journey-D.mp3,"16. The manager wants updates about project deadlines soon."
/toeic-learning-tool/E200/001_025/s200_017_en-US-Journey-D.mp3,"17. Is everybody ready for the morning presentation now?"
/toeic-learning-tool/E200/001_025/s200_018_en-US-Journey-D.mp3,"18. Each employee should attend the safety training course."
